4.2,1
5.2,10
4.6,8
2.8,5
5.2,4
4.0,3
4.8,1
5.4,200
4.4,2
5.0,14
3.8,8
4.2,11
4.2,3
4.0,7
6.8,200
3.2,4
4.2,2
3.2,200
6.2,200
4.8,3
3.2,5
5.0,2
5.4,11
4.6,8
5.4,4
7.6,200
5.6,5
5.8,200
3.6,8
6.0,200
4.6,1
5.0,200
3.2,4
5.4,200
4.6,5
5.0,7
4.4,200
5.4,6
5.4,200
3.2,11
5.4,5
3.4,0
5.8,11
2.8,1
5.2,200
5.0,8
5.4,4
5.0,7
5.0,200
3.8,200
4.8,2
6.2,200
6.2,200
3.8,10
5.6,8
4.6,10
3.6,5
4.8,13
5.6,200
6.0,200
3.8,2
6.2,4
5.2,5
5.2,200
5.0,2
4.4,7
7.2,200
4.6,2
5.4,7
4.6,200
4.2,200
4.6,2
5.2,10
4.6,3
5.2,200
5.0,5
4.2,200
5.6,14
6.4,200
7.4,200
5.4,200
6.0,200
4.4,200
2.6,10
5.2,200
4.4,200
3.6,1
4.6,9
5.2,20
4.8,7
4.0,1
3.0,5
2.4,7
3.0,7
5.6,5
5.8,4
4.8,8
5.8,200
4.0,2
4.0,8
