2.5,1
4.5,4
5.0,46
3.0,3
2.0,1
4.0,7
4.5,20
4.5,34
3.0,1
6.0,27
1.5,13
6.0,13
6.0,7
2.0,58
3.0,4
3.0,4
5.5,91
3.5,1
2.0,3
4.0,34
4.0,73
3.5,4
5.0,25
5.0,13
3.0,22
4.5,22
4.0,5
4.0,1
4.5,48
4.5,22
3.0,118
5.5,52
6.5,7
3.5,34
4.5,31
4.5,43
5.0,46
5.5,13
2.0,10
4.5,16
3.0,1
5.5,118
5.5,115
4.5,94
7.0,13
3.5,1
3.0,0
5.0,4
6.0,52
5.0,7
6.0,13
5.0,7
2.5,4
4.0,4
7.0,4
6.0,4
3.5,2
4.5,79
6.0,6
5.0,31
1.5,22
1.5,1
4.5,3
2.5,16
4.5,40
5.0,76
3.5,166
4.0,4
6.0,20
5.5,38
5.5,235
4.0,2
5.0,40
6.5,79
5.0,28
7.0,106
4.0,1
3.5,31
5.0,46
3.5,1
3.5,4
6.5,19
3.0,13
5.0,28
5.0,14
6.0,16
5.0,13
4.5,46
6.5,52
3.5,0
5.0,4
5.5,4
4.5,9
8.0,13
5.0,2
5.5,6
5.5,16
6.5,22
5.0,7
4.0,142
4.5,4
3.5,9
3.5,1
4.5,139
3.0,43
6.0,4
3.5,7
4.5,8
6.0,142
5.0,7
6.0,3
2.0,4
5.5,70
3.5,28
6.0,48
4.0,19
5.0,30
3.0,55
3.0,3
5.5,7
3.5,0
4.0,16
4.5,28
6.0,12
5.0,22
2.5,3
4.5,10
4.0,74
3.5,121
4.5,7
5.5,28
6.0,22
5.0,11
3.0,37
5.5,163
6.5,113
3.5,7
7.0,58
4.5,4
5.0,4
6.5,66
3.5,298
2.5,1
4.5,7
6.0,89
7.5,40
6.0,22
5.5,4
5.0,19
5.0,7
3.5,13
4.5,70
4.5,3
3.0,7
5.0,184
5.0,136
6.5,37
5.5,85
4.5,4
6.0,5
2.0,1
4.5,3
3.5,2
4.0,66
6.5,22
3.5,13
5.5,85
5.5,16
2.5,34
4.5,37
5.5,112
5.0,95
3.5,4
5.5,76
4.5,40
5.5,61
3.0,154
4.0,15
4.5,139
6.0,4
4.5,139
4.5,38
5.0,58
6.5,19
3.5,32
5.5,103
5.0,79
4.5,52
5.5,58
3.5,7
4.5,4
5.0,55
3.5,91
1.5,1
4.0,121
6.5,16
4.0,100
7.0,6
6.5,95
4.0,13
3.5,4
4.0,4
6.0,142
